participant,session,key,press_time,release_time
p101,1,W,1741607461.2122433,1741607461.3352165
p101,1,shift,1741607461.041114,1741607461.3517427
p101,1,a,1741607461.44213,1741607461.5792277
p101,1,i,1741607461.5290673,1741607461.6140192
p101,1,t,1741607461.7327945,1741607461.8139288
p101,1,space,1741607461.9169922,1741607462.0291097
p101,1,t,1741607462.4975574,1741607462.5960124
p101,1,h,1741607462.5817683,1741607462.6828673
p101,1,e,1741607462.728816,1741607462.8462167
p101,1,y,1741607462.7917254,1741607462.865171
p101,1,space,1741607462.8961859,1741607463.0213814
p101,1,d,1741607463.236878,1741607463.3551042
p101,1,o,1741607463.3843946,1741607463.4851615
p101,1,n,1741607463.550046,1741607463.6656566
p101,1,t,1741607463.6970127,1741607463.8134866
p101,1,space,1741607463.8972993,1741607464.0042224
p101,1,l,1741607464.1046963,1741607464.1975725
p101,1,o,1741607464.3043084,1741607464.42316
p101,1,v,1741607464.504882,1741607464.6001256
p101,1,e,1741607464.6533265,1741607464.782909
p101,1,space,1741607464.7464004,1741607464.835253
p101,1,y,1741607464.9183047,1741607465.0009074
p101,1,o,1741607465.0546422,1741607465.2034717
p101,1,u,1741607465.1733022,1741607465.295674
p101,1,space,1741607465.375097,1741607465.461557
p101,1,l,1741607465.5967708,1741607465.6892357
p101,1,i,1741607465.8124456,1741607465.8711803
p101,1,k,1741607465.9761977,1741607466.0664468
p101,1,e,1741607466.121735,1741607466.2137961
p101,1,space,1741607466.2345407,1741607466.3139615
p101,1,i,1741607466.613215,1741607466.6792977
p101,1,space,1741607466.831555,1741607466.9138997
p101,1,l,1741607467.058453,1741607467.1464853
p101,1,o,1741607467.2796137,1741607467.382766
p101,1,v,1741607467.5400243,1741607467.614137
p101,1,e,1741607467.6510854,1741607467.7809172
p101,1,space,1741607467.7549493,1741607467.8550794
p101,1,y,1741607467.9500787,1741607468.0222151
p101,1,o,1741607468.1027532,1741607468.236701
p101,1,u,1741607468.2390797,1741607468.321207
p101,1,space,1741607468.4047132,1741607468.5145214
p101,1,w,1741607468.5706046,1741607468.6981506
p101,1,a,1741607468.7852328,1741607468.9341447
p101,1,i,1741607468.9341447,1741607469.0192068
p101,1,t,1741607469.1534147,1741607469.2409096
p101,1,enter,1741607469.454436,1741607469.56415
p101,1,esc,1741607469.7638907,1741607469.8701591
